Ref,Val,Package,PosX,PosY,Rot,Side
"R97","330Ω","R_0603_1608Metric",153.471428,-95.110000,90.000000,bottom
"R98","330Ω","R_0603_1608Metric",140.680000,-95.110000,-90.000000,bottom
"R99","330Ω","R_0603_1608Metric",142.507346,-95.110000,-90.000000,bottom
"R100","330Ω","R_0603_1608Metric",144.334692,-95.110000,-90.000000,bottom
"R104","10K","R_0603_1608Metric",155.320000,-89.050000,0.000000,bottom
"R105","10K","R_0603_1608Metric",157.040000,-95.100000,-90.000000,bottom
"R106","10K","R_0603_1608Metric",162.630000,-89.050000,0.000000,bottom
"R109","0Ω_0603","R_0603_1608Metric",183.780000,-95.200000,180.000000,bottom
"R110","0Ω_0603","R_0603_1608Metric",183.730000,-93.620000,180.000000,bottom
"R116","10K","R_0603_1608Metric",136.620000,-88.960000,180.000000,bottom
"R117","10K","R_0603_1608Metric",132.930000,-88.910000,180.000000,bottom
"R118","1K","R_0603_1608Metric",137.040000,-95.460000,90.000000,bottom
"R119","1K","R_0603_1608Metric",134.480000,-95.440000,90.000000,bottom
"R121","33Ω","R_0603_1608Metric",191.875000,-103.825000,0.000000,bottom
"R122","33Ω","R_0603_1608Metric",191.950000,-117.075000,0.000000,bottom
"R123","33Ω","R_0603_1608Metric",191.925000,-119.675000,0.000000,bottom
"R124","33Ω","R_0603_1608Metric",191.925000,-123.075000,0.000000,bottom
"R125","10K","R_0603_1608Metric",182.475000,-115.025000,180.000000,bottom
"U5","TLV4171IPWR","TSSOP-14",125.820000,-113.540000,-90.000000,bottom
"U6","TLV2171IDR","SOIC-8",130.428700,-98.400000,90.000000,bottom
"U10","SIT3490EESA","SOIC-8",175.000000,-93.083500,0.000000,bottom
"U11","MAX3485EESA+T","SOIC-8",174.830000,-99.693500,0.000000,bottom
"U14","CD4053BPWRG3","TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL",133.806000,-84.045000,-90.000000,bottom
